arm,seed,fold,acc,mf1,kappa,auc,ap
A_features,7,8,0.7197595027004994,0.6623369066968573,0.6152029797419589,0.7276015753985214,0.31514860713452747
A_features,7,9,0.7390513162683489,0.657358561310652,0.618839647915328,0.6614229045448751,0.33825632592545407
B_frozen,1,0,0.7266651563207974,0.6972684943347938,0.6290503746681134,0.6640456584423169,0.2428406767182343
B_frozen,1,1,0.7207010993569799,0.6725352643494553,0.6131862579712284,0.6843016375496458,0.2593307352770199
B_frozen,1,2,0.7306,0.6413645145493481,0.6181384410591156,0.6553863046253667,0.1867244282025629
B_frozen,1,3,0.6874157070235501,0.620363544227823,0.5685924320456707,0.8007587690441307,0.349310075543918
B_frozen,1,4,0.6998534220317961,0.6414815111249137,0.5811200472140579,0.7126988177112377,0.33104940758484647
B_frozen,1,5,0.7395981995828301,0.665187115807863,0.6278683729793477,0.6982716558540867,0.33374429686754165
B_frozen,1,6,0.7193001060445388,0.6709356067203015,0.6072845993579855,0.7647321029761374,0.5633729908036128
B_frozen,1,7,0.7497496383665294,0.6692907607396666,0.6457417260039875,0.7036956645913064,0.3326673078160182
B_frozen,1,8,0.7125242025884031,0.6526201536912365,0.6039386074412056,0.7026453792976697,0.26892741173463464
B_frozen,1,9,0.7331068785636298,0.6590297921893651,0.619858668993025,0.6351596545440139,0.34579217425264014
B_frozen,42,0,0.700385138196647,0.6859512964697709,0.5930566971820495,0.6694919692918243,0.274457330531559
B_frozen,42,1,0.7232939224227338,0.6707438922626413,0.6118782838053305,0.7006225174941125,0.3270456738656138
B_frozen,42,2,0.7023,0.6211476719680207,0.5820645053182397,0.6257318243009113,0.16580549627647168
B_frozen,42,3,0.6910467890860048,0.6137177906602933,0.5698887986859742,0.8186299232242396,0.3764912867288975
B_frozen,42,4,0.7288307588228662,0.6314902446996437,0.60847277022052,0.7007713884992987,0.370534663908273
B_frozen,42,5,0.7293885168514656,0.6469712538210605,0.6082642742735669,0.6821225938067477,0.26329528958704684
B_frozen,42,6,0.7136797454931071,0.6628151414038033,0.6067656631008025,0.763313517751357,0.546811364232017
B_frozen,42,7,0.7575386669633916,0.6750229454080903,0.6579765503843205,0.7416948385480973,0.3607329729998263
B_frozen,42,8,0.7269948028125955,0.6678497115406782,0.6217844264081642,0.7191378582663502,0.29269162638460844
B_frozen,42,9,0.7214606332645881,0.6392890452617346,0.6038004735278528,0.6465174932738051,0.3247183684092815
B_frozen,7,0,0.7129587675577708,0.6956348829017668,0.6107460234070032,0.6490306364664075,0.23971910764712662
B_frozen,7,1,0.7120929267786766,0.6724307603085334,0.601647707564188,0.7154382055041347,0.32672805175288333
B_frozen,7,2,0.7074,0.6078921878994554,0.5854688205967424,0.6453048268983554,0.16523094004353767
B_frozen,7,3,0.6654217242452537,0.5902902163514402,0.536286023047017,0.8070319283458847,0.37930287221864123
B_frozen,7,4,0.7112414026384034,0.6396406783441382,0.5961831352091791,0.7069422148622541,0.33104205014391164
B_frozen,7,5,0.7172027664946756,0.6331882465192045,0.5810194959949363,0.7009076872346035,0.27951739383202795
B_frozen,7,6,0.717391304347826,0.6680362888592132,0.6112590469152994,0.7647421863229151,0.5636493577223566
B_frozen,7,7,0.7641037053521753,0.6915471707562058,0.6647836312060441,0.6989168728113151,0.3193618853316554
B_frozen,7,8,0.7234281055742382,0.6601514128370065,0.6157807663263385,0.720181021167927,0.28940525475438705
B_frozen,7,9,0.7451170690282664,0.6823050912981591,0.6331100801126626,0.6413780259264236,0.32571658087390176
